Date : 2025-05-17 09:09:07
Directory : d:\share12\three-template-master\src\packages
Total : 362 files,  24315 codes, 2558 comments, 678 blanks, all 27551 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
| d:\share12\three-template-master\src\packages\formEditor\components\FormTypes\Divider\Other\mobile.vue               | vue            |         42 |         10 |          2 |         54 |
| d:\share12\three-template-master\src\packages\formEditor\components\FormTypes\Divider\Other\pc.tsx                   | TypeScript JSX |         21 |          0 |          2 |         23 |
| d:\share12\three-template-master\src\packages\formEditor\components\FormTypes\Divider\Other\pc.vue                   | vue            |         41 |          0 |          2 |         43 |
| d:\share12\three-template-master\src\packages\formEditor\components\FormTypes\Divider\mobile.tsx                     | TypeScript JSX |         21 |          7 |          3 |         31 |
| d:\share12\three-template-master\src\packages\formEditor\components\FormTypes\Divider\mobile.vue                     | vue            |         29 |          0 |          3 |         32 |
| d:\share12\three-template-master\src\packages\formEditor\components\FormTypes\Divider\pc.tsx                         | TypeScript JSX |         21 |          0 |          2 |         23 |
| d:\share12\three-template-master\src\packages\formEditor\components\FormTypes\Divider\pc.vue                         | vue            |         20 |          0 |          3 |         23 |
| d:\share12\three-template-master\src\packages\formEditor\components\FormTypes\Entity\mobile.tsx                      | TypeScript JSX |          7 |          0 |          1 |          8 |
| d:\share12\three-template-master\src\packages\formEditor\components\FormTypes\Entity\pc.tsx                          | TypeScript JSX |         69 |          3 |          1 |         73 |
| d:\share12\three-template-master\src\packages\formEditor\components\FormTypes\Html\Other\mobile.tsx                  | TypeScript JSX |         21 |          7 |          3 |         31 |
| d:\share12\three-template-master\src\packages\formEditor\components\FormTypes\Html\Other\mobile.vue                  | vue            |         42 |         10 |          2 |         54 |
| d:\share12\three-template-master\src\packages\formEditor\components\FormTypes\Html\Other\pc.tsx                      | TypeScript JSX |         21 |          0 |          2 |         23 |
| d:\share12\three-template-master\src\packages\formEditor\components\FormTypes\Html\Other\pc.vue                      | vue            |         41 |          0 |          2 |         43 |
| d:\share12\three-template-master\src\packages\formEditor\components\FormTypes\Html\mobile.tsx                        | TypeScript JSX |         21 |          7 |          3 |         31 |
| d:\share12\three-template-master\src\packages\formEditor\components\FormTypes\Html\mobile.vue                        | vue            |         67 |          1 |          3 |         71 |
| d:\share12\three-template-master\src\packages\formEditor\components\FormTypes\Html\pc.tsx                            | TypeScript JSX |         21 |          0 |          2 |         23 |
| d:\share12\three-template-master\src\packages\formEditor\components\FormTypes\Html\pc.vue                            | vue            |         28 |          0 |          3 |         31 |
| d:\share12\three-template-master\src\packages\formEditor\components\FormTypes\Image\mobile.tsx                       | TypeScript JSX |         39 |          0 |          2 |         41 |
| d:\share12\three-template-master\src\packages\formEditor\components\FormTypes\Image\pc.tsx                           | TypeScript JSX |         42 |          0 |          2 |         44 |
| d:\share12\three-template-master\src\packages\formEditor\components\FormTypes\Input\mobile.tsx                       | TypeScript JSX |         21 |          7 |          3 |         31 |
| d:\share12\three-template-master\src\packages\formEditor\components\FormTypes\Input\pc.tsx                           | TypeScript JSX |         52 |          4 |          2 |         58 |
| d:\share12\three-template-master\src\packages\formEditor\components\FormTypes\Number\Other\mobile.tsx                | TypeScript JSX |         21 |          7 |          3 |         31 |
| d:\share12\three-template-master\src\packages\formEditor\components\FormTypes\Number\Other\mobile.vue                | vue            |         42 |         10 |          2 |         54 |
| d:\share12\three-template-master\src\packages\formEditor\components\FormTypes\Number\Other\pc.tsx                    | TypeScript JSX |         21 |          0 |          2 |         23 |
| d:\share12\three-template-master\src\packages\formEditor\components\FormTypes\Number\Other\pc.vue                    | vue            |         41 |          0 |          2 |         43 |
| d:\share12\three-template-master\src\packages\formEditor\components\FormTypes\Number\mobile.tsx                      | TypeScript JSX |         21 |          7 |          3 |         31 |
| d:\share12\three-template-master\src\packages\formEditor\components\FormTypes\Number\pc.tsx                          | TypeScript JSX |         36 |          0 |          2 |         38 |
| d:\share12\three-template-master\src\packages\formEditor\components\FormTypes\Other\mobile.tsx                       | TypeScript JSX |         21 |          7 |          3 |         31 |
| d:\share12\three-template-master\src\packages\formEditor\components\FormTypes\Other\mobile.vue                       | vue            |         42 |         10 |          2 |         54 |
| d:\share12\three-template-master\src\packages\formEditor\components\FormTypes\Other\pc.tsx                           | TypeScript JSX |         21 |          0 |          2 |         23 |
| d:\share12\three-template-master\src\packages\formEditor\components\FormTypes\Other\pc.vue                           | vue            |         41 |          0 |          2 |         43 |
| d:\share12\three-template-master\src\packages\formEditor\components\FormTypes\Radio\mobile.tsx                       | TypeScript JSX |         21 |          7 |          3 |         31 |
| d:\share12\three-template-master\src\packages\formEditor\components\FormTypes\Radio\mobile.vue                       | vue            |         39 |          0 |          3 |         42 |
| d:\share12\three-template-master\src\packages\formEditor\components\FormTypes\Radio\pc.tsx                           | TypeScript JSX |         21 |          0 |          2 |         23 |
| d:\share12\three-template-master\src\packages\formEditor\components\FormTypes\Radio\pc.vue                           | vue            |         30 |          0 |          2 |         32 |
| d:\share12\three-template-master\src\packages\formEditor\components\FormTypes\Rate\mobile.tsx                        | TypeScript JSX |         21 |          7 |          3 |         31 |
| d:\share12\three-template-master\src\packages\formEditor\components\FormTypes\Rate\pc.tsx                            | TypeScript JSX |         39 |          1 |          2 |         42 |
| d:\share12\three-template-master\src\packages\formEditor\components\FormTypes\Region\mobile.tsx                      | TypeScript JSX |         21 |          7 |          3 |         31 |
| d:\share12\three-template-master\src\packages\formEditor\components\FormTypes\Region\mobile.vue                      | vue            |         79 |          0 |          3 |         82 |
| d:\share12\three-template-master\src\packages\formEditor\components\FormTypes\Region\pc.tsx                          | TypeScript JSX |         21 |          0 |          2 |         23 |
| d:\share12\three-template-master\src\packages\formEditor\components\FormTypes\Region\pc.vue                          | vue            |         22 |          0 |          3 |         25 |
| d:\share12\three-template-master\src\packages\formEditor\components\FormTypes\Select\mobile.tsx                      | TypeScript JSX |         21 |          7 |          3 |         31 |
| d:\share12\three-template-master\src\packages\formEditor\components\FormTypes\Select\pc.tsx                          | TypeScript JSX |         29 |          0 |          2 |         31 |
| d:\share12\three-template-master\src\packages\formEditor\components\FormTypes\Sform\mobile.tsx                       | TypeScript JSX |         20 |          1 |          2 |         23 |
| d:\share12\three-template-master\src\packages\formEditor\components\FormTypes\Sform\mobile.vue                       | vue            |          3 |          0 |          0 |          3 |
| d:\share12\three-template-master\src\packages\formEditor\components\FormTypes\Sform\pc.tsx                           | TypeScript JSX |         20 |          0 |          2 |         22 |
| d:\share12\three-template-master\src\packages\formEditor\components\FormTypes\Sform\pc.vue                           | vue            |          3 |          0 |          0 |          3 |
| d:\share12\three-template-master\src\packages\formEditor\components\FormTypes\Signature\mobile.tsx                   | TypeScript JSX |         21 |          7 |          3 |         31 |
| d:\share12\three-template-master\src\packages\formEditor\components\FormTypes\Signature\pc.tsx                       | TypeScript JSX |         21 |          0 |          2 |         23 |
| d:\share12\three-template-master\src\packages\formEditor\components\FormTypes\Slider\mobile.tsx                      | TypeScript JSX |         21 |          7 |          3 |         31 |
| d:\share12\three-template-master\src\packages\formEditor\components\FormTypes\Slider\mobile.vue                      | vue            |         31 |          0 |          3 |         34 |
| d:\share12\three-template-master\src\packages\formEditor\components\FormTypes\Slider\pc.tsx                          | TypeScript JSX |         21 |          0 |          2 |         23 |
| d:\share12\three-template-master\src\packages\formEditor\components\FormTypes\Slider\pc.vue                          | vue            |         19 |          0 |          3 |         22 |
| d:\share12\three-template-master\src\packages\formEditor\components\FormTypes\Stable\mobile.tsx                      | TypeScript JSX |         21 |          0 |          2 |         23 |
| d:\share12\three-template-master\src\packages\formEditor\components\FormTypes\Stable\pc.tsx                          | TypeScript JSX |         76 |          1 |          2 |         79 |
| d:\share12\three-template-master\src\packages\formEditor\components\FormTypes\String\mobile.tsx                      | TypeScript JSX |         24 |          0 |          2 |         26 |
| d:\share12\three-template-master\src\packages\formEditor\components\FormTypes\String\pc.tsx                          | TypeScript JSX |         61 |          2 |          3 |         66 |
| d:\share12\three-template-master\src\packages\formEditor\components\FormTypes\Switch\mobile.tsx                      | TypeScript JSX |         21 |          7 |          3 |         31 |
| d:\share12\three-template-master\src\packages\formEditor\components\FormTypes\Switch\pc.tsx                          | TypeScript JSX |         21 |          0 |          2 |         23 |
| d:\share12\three-template-master\src\packages\formEditor\components\FormTypes\Textarea\mobile.tsx                    | TypeScript JSX |         21 |          7 |          3 |         31 |
| d:\share12\three-template-master\src\packages\formEditor\components\FormTypes\Textarea\pc.tsx                        | TypeScript JSX |         21 |          0 |          2 |         23 |
| d:\share12\three-template-master\src\packages\formEditor\components\FormTypes\Time\mobile.tsx                        | TypeScript JSX |         21 |          7 |          3 |         31 |
| d:\share12\three-template-master\src\packages\formEditor\components\FormTypes\Time\pc.tsx                            | TypeScript JSX |         43 |          0 |          2 |         45 |
| d:\share12\three-template-master\src\packages\formEditor\components\FormTypes\Uploadfile\mobile.tsx                  | TypeScript JSX |         21 |          7 |          3 |         31 |
| d:\share12\three-template-master\src\packages\formEditor\components\FormTypes\Uploadfile\mobile.vue                  | vue            |         69 |          0 |          1 |         70 |
| d:\share12\three-template-master\src\packages\formEditor\components\FormTypes\Uploadfile\pc.tsx                      | TypeScript JSX |         21 |          0 |          2 |         23 |
| d:\share12\three-template-master\src\packages\formEditor\components\FormTypes\Uploadfile\pc.vue                      | vue            |         93 |          0 |          3 |         96 |
| d:\share12\three-template-master\src\packages\formEditor\components\FormTypes\index.ts                               | TypeScript     |        103 |         10 |          2 |        115 |
| d:\share12\three-template-master\src\packages\formEditor\components\Icon.vue                                         | vue            |         32 |          0 |          2 |         34 |
| d:\share12\three-template-master\src\packages\formEditor\components\Layout\CollapseLayout.tsx                        | TypeScript JSX |         46 |          0 |          1 |         47 |
| d:\share12\three-template-master\src\packages\formEditor\components\Layout\ControlInsertionPlugin.ts                 | TypeScript     |        639 |         51 |         17 |        707 |
| d:\share12\three-template-master\src\packages\formEditor\components\Layout\DragGable.tsx                             | TypeScript JSX |        414 |         15 |          3 |        432 |
| d:\share12\three-template-master\src\packages\formEditor\components\Layout\DragGableWrap.tsx                         | TypeScript JSX |         58 |          1 |          0 |         59 |
| d:\share12\three-template-master\src\packages\formEditor\components\Layout\GridLayout.tsx                            | TypeScript JSX |         92 |          9 |          1 |        102 |
| d:\share12\three-template-master\src\packages\formEditor\components\Layout\InlineLayout.tsx                          | TypeScript JSX |         89 |          0 |          2 |         91 |
| d:\share12\three-template-master\src\packages\formEditor\components\Layout\SubformLayout.tsx                         | TypeScript JSX |        149 |          3 |          1 |        153 |
| d:\share12\three-template-master\src\packages\formEditor\components\Layout\TableLayout.tsx                           | TypeScript JSX |        105 |          0 |          1 |        106 |
| d:\share12\three-template-master\src\packages\formEditor\components\Layout\TabsLayout.tsx                            | TypeScript JSX |         77 |          3 |          1 |         81 |
| d:\share12\three-template-master\src\packages\formEditor\components\Panels\Canves\index.tsx                          | TypeScript JSX |         90 |          4 |          3 |         97 |
| d:\share12\three-template-master\src\packages\formEditor\components\Panels\Config\components\AllsidesComponent.vue   | vue            |         81 |          0 |          1 |         82 |
| d:\share12\three-template-master\src\packages\formEditor\components\Panels\Config\components\BackgroundComponent.vue | vue            |        295 |          1 |          2 |        298 |
| d:\share12\three-template-master\src\packages\formEditor\components\Panels\Config\components\BorderComponent.vue     | vue            |        163 |          0 |          1 |        164 |
| d:\share12\three-template-master\src\packages\formEditor\components\Panels\Config\components\CheckboxComponent.vue   | vue            |         39 |          0 |          1 |         40 |
| d:\share12\three-template-master\src\packages\formEditor\components\Panels\Config\components\CollapseComponent.vue   | vue            |         45 |          0 |          1 |         46 |
| d:\share12\three-template-master\src\packages\formEditor\components\Panels\Config\components\DataComponent1.jsx      | JavaScript     |        212 |          2 |          1 |        215 |
| d:\share12\three-template-master\src\packages\formEditor\components\Panels\Config\components\DataComponent2.jsx      | JavaScript     |        184 |         15 |          1 |        200 |
| d:\share12\three-template-master\src\packages\formEditor\components\Panels\Config\components\DataComponent3.vue      | vue            |         91 |          0 |          1 |         92 |
| d:\share12\three-template-master\src\packages\formEditor\components\Panels\Config\components\GlobalConfigPanel.tsx   | TypeScript JSX |         16 |          0 |          1 |         17 |
| d:\share12\three-template-master\src\packages\formEditor\components\Panels\Config\components\GlobalConfigPanel.vue   | vue            |        218 |          0 |          1 |        219 |
| d:\share12\three-template-master\src\packages\formEditor\components\Panels\Config\components\LimitComponent.vue      | vue            |         55 |          0 |          1 |         56 |
| d:\share12\three-template-master\src\packages\formEditor\components\Panels\Config\components\LogicComponent.vue      | vue            |        299 |          0 |          2 |        301 |
| d:\share12\three-template-master\src\packages\formEditor\components\Panels\Config\components\PropsPanel.tsx          | TypeScript JSX |         23 |          0 |          0 |         23 |
| d:\share12\three-template-master\src\packages\formEditor\components\Panels\Config\components\PropsPanel.vue          | vue            |          2 |          0 |          1 |          3 |
| d:\share12\three-template-master\src\packages\formEditor\components\Panels\Config\components\SubformDefaultValue.vue | vue            |        121 |          0 |          1 |        122 |
| d:\share12\three-template-master\src\packages\formEditor\components\Panels\Config\components\TypeComponent.vue       | vue            |         86 |          0 |          1 |         87 |
| d:\share12\three-template-master\src\packages\formEditor\components\Panels\Config\components\fConfigPanel.tsx        | TypeScript JSX |         76 |          9 |          1 |         86 |
| d:\share12\three-template-master\src\packages\formEditor\components\Panels\Config\components\generateFilterdata.js   | JavaScript     |        394 |         32 |          1 |        427 |
| d:\share12\three-template-master\src\packages\formEditor\components\Panels\Config\configPanel.tsx                    | TypeScript JSX |        180 |          6 |          1 |        187 |
| d:\share12\three-template-master\src\packages\formEditor\components\Panels\Config\index.vue                          | vue            |        185 |          0 |          2 |        187 |
| d:\share12\three-template-master\src\packages\formEditor\components\Panels\Fields\index.tsx                          | TypeScript JSX |        106 |         12 |          2 |        120 |
| d:\share12\three-template-master\src\packages\formEditor\components\Selection\selectElement.tsx                      | TypeScript JSX |        477 |          9 |          3 |        489 |
| d:\share12\three-template-master\src\packages\formEditor\config.tsx                                                  | TypeScript JSX |        106 |          0 |          1 |        107 |
| d:\share12\three-template-master\src\packages\formEditor\defaultProps.ts                                             | TypeScript     |         64 |          0 |          1 |         65 |
| d:\share12\three-template-master\src\packages\formEditor\fieldFormConfig.ts                                          | TypeScript     |          0 |          0 |          1 |          1 |
| d:\share12\three-template-master\src\packages\formEditor\formEditor.tsx                                              | TypeScript JSX |        335 |         28 |          2 |        365 |
| d:\share12\three-template-master\src\packages\formEditor\formTab.tsx                                                 | TypeScript JSX |         25 |          0 |          1 |         26 |
| d:\share12\three-template-master\src\packages\formEditor\formType.ts                                                 | TypeScript     |         18 |          0 |          1 |         19 |
| d:\share12\three-template-master\src\packages\formEditor\generatorData.ts                                            | TypeScript     |         26 |          2 |          1 |         29 |
| d:\share12\three-template-master\src\packages\formEditor\index.ts                                                    | TypeScript     |         15 |          6 |          1 |         22 |
| d:\share12\three-template-master\src\packages\formEditor\locale\en.ts                                                | TypeScript     |        289 |          0 |          1 |        290 |
| d:\share12\three-template-master\src\packages\formEditor\locale\index.ts                                             | TypeScript     |          8 |          1 |          1 |         10 |
| d:\share12\three-template-master\src\packages\formEditor\locale\zh-cn.ts                                             | TypeScript     |        266 |          0 |          1 |        267 |
| d:\share12\three-template-master\src\packages\formEditor\node.ts                                                     | TypeScript     |        135 |          2 |          1 |        138 |
| d:\share12\three-template-master\src\packages\formEditor\preview.tsx                                                 | TypeScript JSX |        214 |         11 |          4 |        229 |
| d:\share12\three-template-master\src\packages\formEditor\style\index.js                                              | JavaScript     |          3 |          1 |          1 |          5 |
| d:\share12\three-template-master\src\packages\formEditor\testData.ts                                                 | TypeScript     |      2,398 |        865 |         12 |      3,275 |
| d:\share12\three-template-master\src\packages\formEditor\testData1.ts                                                | TypeScript     |        113 |          0 |          1 |        114 |
| d:\share12\three-template-master\src\packages\formitem.ts                                                            | TypeScript     |        960 |         52 |          3 |      1,015 |
| d:\share12\three-template-master\src\packages\hooks\index.ts                                                         | TypeScript     |         20 |          1 |          0 |         21 |
| d:\share12\three-template-master\src\packages\hooks\use-css\index.ts                                                 | TypeScript     |        173 |          1 |          1 |        175 |
| d:\share12\three-template-master\src\packages\hooks\use-fetch\index.ts                                               | TypeScript     |         30 |          2 |          1 |         33 |
| d:\share12\three-template-master\src\packages\hooks\use-history\index.ts                                             | TypeScript     |         79 |          8 |          1 |         88 |
